선거구명,사진,성명(한자),성별,생년월일(연령),주소,직업,학력,경력,전과기록유무(건수),등록일자,huboId,선거유형,시도,조회_시도코드,조회_sggCityCode,조회_townCode
서울특별시,,"정근식
 
(鄭根埴)",남,"1957.11.15
(68세)",서울특별시 서초구 효령로,서울특별시교육감,서울대학교 대학원(박사과정) 사회학과 문학박사,"(현)서울특별시교육감
(전)노무현 정부 친일반민족행위 진상규명위원회 위원",없음,2026-04-02,100161493,교육감,서울특별시,1100,-1,-1
서울특별시,,"이학인
 
(李學仁)",남,"1973.01.27
(53세)",서울특별시 광진구 뚝섬로,신한대학교 부교수,뉴욕시립대학교(CUNY)대학원 및 대학센터 철학박사(경영학전공)(2006.8~2012.8),"(전)미국Hofstra대학교 회계학 조교수
(전)안진회계법인 공인회계사",없음,2026-04-20,100162651,교육감,서울특별시,1100,-1,-1
부산광역시,,"최윤홍
 
(崔閏洪)",남,"1969.01.12
(57세)",부산광역시 부산진구 진남로,미기재,고려대학교 교육대학원 교육학석사,"(전)제33대 부산광역시 교육청 부교육감
(전)부산대학교 사무국 사무국장",없음,2026-02-10,100153847,교육감,부산광역시,2600,-1,-1
부산광역시,,"김석준
 
(金錫俊)",남,"1957.03.28
(69세)",부산광역시 금정구 중앙대로1685번길,부산광역시교육감,서울대학교 대학원 사회학과 졸업(문학박사),"(전)국가교육위원회 위원
(전)부산대학교 사범대 교수",1건,2026-04-23,100162788,교육감,부산광역시,2600,-1,-1
대구광역시,,"서중현
 
(徐重鉉)",남,"1951.09.14
(74세)",대구광역시 서구 국채보상로53길,정치인,경북대학교 대학원 철학과 박사과정 수료,"(전)대구광역시 서구청장
(전)협성상업고등학교 교사",없음,2026-02-06,100153820,교육감,대구광역시,2700,-1,-1
대구광역시,,"임성무
 
(林性茂)",남,"1963.10.12
(62세)",대구광역시 달서구 한실로,교육활동가,대구교육대학교 초등교육과 졸업,"(전) 화동초등학교 교사
(현) 녹색교육연구소 소장",2건,2026-04-09,100162085,교육감,대구광역시,2700,-1,-1
대구광역시,,"강은희
 
(姜𤨒姬)",여,"1964.10.23
(61세)",대구광역시 중구 남산로13길,대구광역시교육감,경북대학교 사범대학 물리교육과 졸업,"(전) 여성가족부장관
(현) 대구광역시교육감",없음,2026-04-21,100162500,교육감,대구광역시,2700,-1,-1
인천광역시,,"이대형
 
(李大珩)",남,"1961.08.08
(64세)",인천광역시 남동구 구월로,경인교육대학교 교수,경희대학교 대학원 졸업(체육학박사),"(전)인천광역시자원봉사센타 이사장
(전)인천광역시 교원단체총연합회 회장",없음,2026-02-03,100153794,교육감,인천광역시,2800,-1,-1
인천광역시,,"이현준
 
(李賢峻)",남,"1965.03.25
(61세)",인천광역시 연수구 컨벤시아대로42번길,넥스트인천교육 상임대표,대구대학교 교육대학원 교육학 석사,(전)영화국제관광고등학교 교장,없음,2026-02-03,100153798,교육감,인천광역시,2800,-1,-1
인천광역시,,"임병구
 
(林秉九)",남,"1964.10.02
(61세)",인천광역시 연수구 해돋이로84번길,교육대개혁국민운동본부 인천준비위원장,중앙대학교 국어국문학과 졸업,"(현)전국교육자치혁신연대 상임대표
(전)인천광역시교육청 정책기획조정관",2건,2026-02-03,100153776,교육감,인천광역시,2800,-1,-1
인천광역시,,"연규원
 
(延圭元)",남,"1965.04.20
(61세)",인천광역시 강화군 불은면 고능로,진로코칭지도사,한국교원대학교 대학원 교육학 석사 졸업,"(전) 인천광역시교육청 교사
(전) 제47회 전국현장교육연구대회 1등급(2003.4.26.)",없음,2026-02-24,100156005,교육감,인천광역시,2800,-1,-1
전남광주통합특별시,,"장관호
 
(張寬鎬)",남,"1967.11.17
(58세)",전라남도 무안군 삼향읍 남악5로72번길,무직,전남대학교 사범대학 물리교육과 졸업,"(현)대통령직속 민주평화통일자문회의 자문위원
(현)민주진보교육감 전남도민공천위원회 추대후보",없음,2026-02-03,100153771,교육감,광주광역시,2900,-1,-1
전남광주통합특별시,,"김해룡
 
(金海龍)",남,"1965.10.16
(60세)",전라남도 여수시 신월로,무직,전남대학교 일반대학원 영어영문학과 박사과정 수료,"(전)대통령소속 국가교육위원회 디지털·AI교육 특별위원
(현)광주전남 교육·사회 시민연대 민주교육감 추대 후보",없음,2026-02-06,100153821,교육감,광주광역시,2900,-1,-1
전남광주통합특별시,,"강숙영
 
(姜叔瑩)",여,"1962.03.25
(64세)",전라남도 순천시 해룡면 기적의도서관길,무직,전남대학교 일반대학원 졸업 (교육학박사),"(현)김대중(故 김대중 대통령)재단 전남지부회 탄소중립위원회 위원장
(현)교육학 박사 전남대학교 일반대학원",없음,2026-02-10,100153856,교육감,광주광역시,2900,-1,-1
전남광주통합특별시,,"정성홍
 
(鄭性洪)",남,"1962.11.19
(63세)",광주광역시 서구 풍암2로,무직,한국교원대학교 교육대학원 졸업(교육학석사),"(현)(김용태,오경미,정성홍참여)광주민주진보시민교육감단일후보",없음,2026-02-19,100154058,교육감,광주광역시,2900,-1,-1
전남광주통합특별시,,"최대욱
 
(崔大旭)",남,"1961.01.30
(65세)",전라남도 순천시 연향1로,무직,전남대학교 일반대학원 교육학과 박사과정 졸업 (교육학박사),"(전)한국교원단체총연합회 부회장
(현)임진란정신문화선양회 이사 및 운영위원",없음,2026-02-20,100154406,교육감,광주광역시,2900,-1,-1
전남광주통합특별시,,"고두갑
 
(高斗甲)",남,"1965.05.12
(61세)",전라남도 목포시 양을로,교수,일본 추오대학대학원 경제학연구과 경제학박사 졸업(1999.04~2004.03),"(현)국립목포대학교 경영대학 경제무역학부 교수
(현)국립목포대학교 경영행정대학원장",없음,2026-02-23,100155682,교육감,광주광역시,2900,-1,-1
전남광주통합특별시,,"이정선
 
(李廷先)",남,"1959.02.10
(67세)",광주광역시 동구 무등로,광주광역시교육감,미국 럿거스 뉴저지주립대학교 교육학 박사 (1990.9.1.~1995.10.1.),"(전) 제6대 광주교육대학교 총장
(현) 광주광역시교육감",없음,2026-03-26,100160673,교육감,광주광역시,2900,-1,-1
전남광주통합특별시,,"김대중
 
(金大中)",남,"1961.08.13
(64세)",전라남도 무안군 삼향읍 남악영산길,전라남도교육감,목포대학교 대학원 국어국문학과 박사과정 수료,"(현)전라남도교육감
(전)노무현재단 운영위원(창립위원)",없음,2026-04-10,100162107,교육감,광주광역시,2900,-1,-1
대전광역시,,"맹수석
 
(孟守錫)",남,"1959.04.04
(67세)",대전광역시 동구 동중앙로,충남대학교 법학전문대학원 명예교수,충남대학교 대학원 졸업(법학박사),"(전) 충남대학교 법학전문대학원 교수/원장
(전) 충남대학교 법과대학장",없음,2026-02-03,100153739,교육감,대전광역시,3000,-1,-1
대전광역시,,"성광진
 
(成光鎭)",남,"1957.12.18
(68세)",대전광역시 서구 벌곡로1287번길,교육활동가,한남대학교 국어국문학과 졸업,"(현) 전국교육자치혁신연대 상임대표
(현) 대전교육연구소 소장",없음,2026-02-03,100153764,교육감,대전광역시,3000,-1,-1
대전광역시,,"오석진
 
(吳錫鎭)",남,"1959.09.17
(66세)",대전광역시 서구 둔산북로,배재대학교 대외협력교수,한국교원대학교 대학원 졸업(교육학 박사),"(전) 대전광역시교육청 교육국장
(전) 대전 괴정고등학교 교장",없음,2026-02-03,100153740,교육감,대전광역시,3000,-1,-1
대전광역시,,"정상신
 
(鄭相信)",여,"1961.11.08
(64세)",대전광역시 중구 태평로,대전미래교육연구회 회장,충남대학교 대학원 졸업(문학박사),"(전) 유성중학교 교장
(현) 대전미래교육연구회 회장",없음,2026-02-03,100153741,교육감,대전광역시,3000,-1,-1
대전광역시,,"진동규
 
(陳東圭)",남,"1958.04.27
(68세)",대전광역시 유성구 봉명로,청정유성 정책포럼 대표,인하대학교 대학원 졸업(행정학 박사),"(전) 제9대, 제10대 유성구청장
(전) 대덕대학교 교수",1건,2026-02-03,100153737,교육감,대전광역시,3000,-1,-1
울산광역시,,"김주홍
 
(金周洪)",남,"1956.11.23
(69세)",울산광역시 남구 신복로22번길,울산대학교 명예교수,서울대학교 대학원 졸업(정치학박사),"(현)울산대학교 명예교수
(전)울산대학교 교수",없음,2026-02-26,100156317,교육감,울산광역시,3100,-1,-1
울산광역시,,"조용식
 
(趙容植)",남,"1968.10.02
(57세)",울산광역시 울주군 두동면 당지칠조길,무직,강원대학교 사범대학 한문교육과 졸업,"(전)노옥희·천창수 울산광역시교육감 비서실장
(전)(사)노옥희재단 이사장",3건,2026-03-24,100160241,교육감,울산광역시,3100,-1,-1
울산광역시,,"구광렬
 
(具廣烈)",남,"1956.04.06
(70세)",울산광역시 울주군 청량읍 문죽로,울산대학교 명예교수,멕시코국립대학교 문학박사(1984.06.~1989.01.),"(현)울산대학교 명예교수
(현)멕시코국립대학교 문학박사",없음,2026-03-30,100161017,교육감,울산광역시,3100,-1,-1
세종특별자치시,,"강미애
 
(姜美愛)",여,"1965.10.10
(60세)",세종특별자치시 달빛로,세종미래연구소 대표,고려대학교 행정전문대학원 박사과정 수료(정책학과),"(전) 세종특별자치시교원단체총연합회 회장
(전) 세종도원초등학교 교장",없음,2026-02-03,100153756,교육감,세종특별자치시,5100,-1,-1
세종특별자치시,,"안광식
 
(安光植)",남,"1963.07.25
(62세)",세종특별자치시 대평로,세종교육희망연구소 대표,충남대학교 대학원 졸업(교육학박사),"(현) 민주평화통일자문회의 상임위원
(전) 세종시교육청 진로교육원장",없음,2026-02-03,100153760,교육감,세종특별자치시,5100,-1,-1
세종특별자치시,,"원성수
 
(元聖洙)",남,"1963.04.27
(63세)",세종특별자치시 장군면 외암길,미기재,미국 텍사스주립대학교 알링톤 철학박사(1995.08.15.~1997.12.13.),"(전) 국립공주대학교 총장
(현) 총리실 산하 세종특별자치시지원위원",없음,2026-02-03,100153759,교육감,세종특별자치시,5100,-1,-1
세종특별자치시,,"임전수
 
(林典洙)",남,"1961.09.07
(64세)",세종특별자치시 해밀3로,교육운동가,경북대학교 교육대학원 졸업(교육학석사),"(전) 최교진 교육감 3기 인수위원 겸 집행위원장
(전) 세종특별자치시교육청 교육정책국장",2건,2026-02-03,100153758,교육감,세종특별자치시,5100,-1,-1
세종특별자치시,,"김인엽
 
(金寅燁)",남,"1976.04.21
(50세)",세종특별자치시 가온로,국립공주대학교 교수,공주대학교 일반대학원 졸업(교육학 박사),"(전) 대통령소속 국가교육회의 미래교육위원회 연구원
(전) 국무총리실산하 한국직업능력연구원 연구위원",없음,2026-02-05,100153757,교육감,세종특별자치시,5100,-1,-1
세종특별자치시,,"정일화
 
(鄭一和)",남,"1961.11.05
(64세)",세종특별자치시 보듬2로,세종교육백년대계 대표,충남대학교 대학원 교육학과 (교육행정학·교육사회학 전공) 졸업(교육학박사),"(전) 충남고등학교 수석교사
(전) 국가교육위원회 대학의 격차해소 및 균형발전 특별위원회 위원",없음,2026-04-01,100160947,교육감,세종특별자치시,5100,-1,-1
경기도,,"성기선
 
(成基善)",남,"1964.04.04
(62세)",경기도 부천시 원미구 부일로685번길,가톨릭대학교 교직과 교수,서울대학교 대학원 교육학과 졸업(교육학 박사),"(전)대통령소속 국가교육위원회 대학입시제도개편 특별위원회 위원
(전)2022년 경기도교육감선거 민주진보단일후보",없음,2026-02-03,100153790,교육감,경기도,4100,-1,-1
경기도,,"안민석
 
(安敏錫)",남,"1966.08.13
(59세)",경기도 오산시 수목원로,명지대학교 석좌교수,"미국 노던콜로라도대학교 대학원 졸업(교육학박사, 1990.09~1993.05)","(전)대통령 한미정상회담 특별수행원
(전)국회 교육위원회 위원 5회 역임(5선 국회의원)",2건,2026-02-03,100153797,교육감,경기도,4100,-1,-1
경기도,,"이해문
 
(李海文)",남,"1954.06.11
(71세)",경기도 과천시 뒷골로,(사)사랑의나눔 과천지회장,홍익대학교 대학원 경영학과 졸업(경영학박사),"(전)홍익대학교 경영대학 초빙교수
(전)제6,7,8대 경기도의회 의원(제8대 전반기 행정자치위원장)",없음,2026-02-03,100153789,교육감,경기도,4100,-1,-1
경기도,,"박효진
 
(朴孝眞)",남,"1962.01.18
(64세)",경기도 용인시 기흥구 한보라2로48번길,교육시민운동가,아주대학교 공공정책대학원 행정학과 졸업(행정학석사),"(전)30년 평교사
(전)전교조 경기지부장",3건,2026-02-05,100153816,교육감,경기도,4100,-1,-1
경기도,,"유은혜
 
(兪銀惠)",여,"1962.10.02
(63세)",경기도 수원시 권선구 권중로,상지대 석좌교수,이화여자대학교 정책과학대학원 졸업[정책학 석사(공공정책학)],"(전)부총리 겸 교육부 장관
(전)제19,20대 국회 교육위원회 위원 역임(재선 국회의원)",없음,2026-02-10,100153850,교육감,경기도,4100,-1,-1
강원특별자치도,,"강삼영
 
(姜三泳)",남,"1968.12.04
(57세)",강원특별자치도 동해시 갈전길,전국교육자치혁신연대 상임대표,춘천교육대학교 교육대학원 초등교육학과(아동문학교육) 졸업(교육학석사),"(현) 강원민주진보교육감단일후보(강삼영, 최승기 참여 단일화추진위선출)",없음,2026-02-03,100153785,교육감,강원특별자치도,5200,-1,-1
강원특별자치도,,"박현숙
 
(朴賢淑)",여,"1967.11.17
(58세)",강원특별자치도 원주시 소일마을2길,한라대학교 조교수,강원대학교 일반대학원 영어영문학과 졸업(문학박사),"(현) 한라대학교 조교수
(현) 전국교수노동조합 강원지부장",없음,2026-02-03,100153782,교육감,강원특별자치도,5200,-1,-1
강원특별자치도,,"최광익
 
(崔光益)",남,"1961.08.19
(64세)",강원특별자치도 춘천시 새청말길,강원미래교육포럼 대표,미국 아이오와대학교 대학원 졸업(철학박사) (1989.9. ∼ 1991.12.),"(전) 강원도교육감직인수위원장
(현) 강원미래교육포럼 대표",없음,2026-02-03,100153787,교육감,강원특별자치도,5200,-1,-1
강원특별자치도,,"유대균
 
(劉大均)",남,"1960.11.17
(65세)",강원특별자치도 춘천시 보안길,교육사랑플랫폼 대표,강원대학교 일반대학원 교육학과 졸업(교육학 박사),"(현) 춘천교육대학교 총동문회장
(전) 교육부 장학관",없음,2026-02-09,100153833,교육감,강원특별자치도,5200,-1,-1
강원특별자치도,,"신경호
 
(申慶浩)",남,"1952.09.15
(73세)",강원특별자치도 춘천시 신동솔밭길,공무원,강원대학교 교육대학원 졸업(교육학석사),"(현)강원특별자치도교육감
(현)제10대 대한민국교육감협의회 부회장",없음,2026-04-14,100162320,교육감,강원특별자치도,5200,-1,-1
충청북도,,"김성근
 
(金盛根)",남,"1960.01.17
(66세)",충청북도 충주시 산척면 대동길,교육전문가,서울대학교 대학원 졸업(교육학석사),(전)노무현 대통령비서실 교육문화행정관,없음,2026-02-05,100153743,교육감,충청북도,4300,-1,-1
충청북도,,"김진균
 
(金鎭均)",남,"1963.06.18
(62세)",충청북도 청주시 흥덕구 비하로57번길,학교현장교육전문가,충북대학교 교육대학원 졸업(교육학석사),"(전) 제18대 충청북도교육감 후보
(전) 전국시도교원단체총연합회장단협의회장",없음,2026-02-09,100153825,교육감,충청북도,4300,-1,-1
충청북도,,"신문규
 
(辛文圭)",남,"1967.12.28
(58세)",충청북도 청주시 서원구 모충로,교육정책전문가,동국대학교 교육대학원 교육학과 졸업(교육학석사),"(전)대통령 교육비서관
(전)교육부 기획조정실장",없음,2026-03-06,100157310,교육감,충청북도,4300,-1,-1
충청북도,,"조동욱
 
(趙東旭)",남,"1959.08.03
(66세)",충청북도 청주시 상당구 월평로,무직,한양대학교 대학원 전자통신공학과 졸업(공학박사),"(전)한국산학연협회 회장
(전)충북도립대학교 정교수",1건,2026-03-12,100157942,교육감,충청북도,4300,-1,-1
충청남도,,"명노희
 
(明魯熙)",남,"1959.11.21
(66세)",충청남도 서산시 해미면 성지2길,충남 미래인재교육연구원 원장,한남대학교 대학원 법학과 박사과정 수료,"(전)한국 교육의원 총회 부의장
(전)신성대학교 초빙교수",1건,2026-02-03,100153783,교육감,충청남도,4400,-1,-1
충청남도,,"이병도
 
(李炳都)",남,"1964.02.22
(62세)",충청남도 천안시 서북구 불당14로,충남교육연구소 소장,국립공주대학교 대학원 교육학과 졸업(교육학 박사),"(현)충남민주진보교육감추진위원회 선정후보
(전)충남교육청 천안교육지원청 교육장",없음,2026-02-03,100153788,교육감,충청남도,4400,-1,-1
충청남도,,"이병학
 
(李炳學)",남,"1956.04.23
(70세)",충청남도 천안시 서북구 백석로,충남교육혁신연구소장,단국대학교 사범대학 체육교육과 졸업,"(전)충청남도교육위원회 3대 부의장
(현)충남교육혁신연구소장",1건,2026-02-03,100153791,교육감,충청남도,4400,-1,-1
충청남도,,"한상경
 
(韓相卿)",남,"1960.03.02
(66세)",충청남도 천안시 서북구 백석2길,무직,순천향대학교 교육대학원(특수교육전공) 졸업,"(전)충남교육청 충남과학교육원 원장
(전)천안인애학교 교장",1건,2026-02-03,100153799,교육감,충청남도,4400,-1,-1
충청남도,,"김영춘
 
(金泳春)",남,"1959.08.09
(66세)",충청남도 천안시 서북구 불당17길,미기재,명지대학교 대학원 전기공학과 졸업(공학박사),"(전)공주대학교 부총장
(현)대통령직속지방시대위원회위원",없음,2026-02-04,100153814,교육감,충청남도,4400,-1,-1
충청남도,,"이명수
 
(李明洙)",남,"1955.02.11
(71세)",충청남도 아산시 문화로,상명대학교 천안산학협력단 특임교수,성균관대학교 대학원 행정학과 졸업(행정학 박사),"(전)18·19·20·21대 국회의원
(전)나사렛대학교 부총장",없음,2026-03-13,100158164,교육감,충청남도,4400,-1,-1
전북특별자치도,,"유성동
 
(劉成東)",남,"1974.04.30
(52세)",전북특별자치도 전주시 완산구 소태정4길,좋은교육시민연대 대표,한국교원대학교 교육학 박사과정 재학,"(현)좋은교육시민연대 대표
(전)초등교사",없음,2026-02-03,100153767,교육감,전북특별자치도,5300,-1,-1
전북특별자치도,,"이남호
 
(李南浩)",남,"1959.10.30
(66세)",전북특별자치도 전주시 덕진구 거북바우3길,전북대학교 명예교수,서울대학교 대학원 박사 졸업(임산공학),"(전)전북대학교 총장
(전)전북연구원 원장",없음,2026-02-03,100153763,교육감,전북특별자치도,5300,-1,-1
전북특별자치도,,"천호성
 
(千鎬誠)",남,"1967.04.22
(59세)",전북특별자치도 전주시 덕진구 거북바우3길,전주교육대학교 교수,나고야대학 대학원졸업 교육학 박사(2002.4.1.~2005.3.31.),"(현)전주교육대학교 교수
(전)대통령직속 국가균형발전위원회 자문위원",없음,2026-02-03,100153762,교육감,전북특별자치도,5300,-1,-1
경상북도,,"이용기
 
(李勇奇)",남,"1966.11.10
(59세)",경상북도 청도군 매전면 관하실길,농업,경북대학교 교육대학원 석사과정 수료(교육사회및평생교육전공),"(전)전국교직원노동조합 경북지부장
(현)경북혁신교육연구소공감 소장",1건,2026-02-04,100153805,교육감,경상북도,4700,-1,-1
경상북도,,"김상동
 
(金商東)",남,"1959.05.14
(67세)",경상북도 상주시 외남면 흔평1길,교육인,미국 위스콘신대학교 매디슨 수학 박사(1989.1.~1993.5.),"(전)경북대학교 총장
(전)경상북도인재평생교육재단 대표이사",없음,2026-03-04,100156976,교육감,경상북도,4700,-1,-1
경상북도,,"한은미
 
(韓銀美)",여,"1959.05.10
(67세)",경상북도 김천시 노실고개3길,경상북도미래교육연구원 원장,미국뉴욕대학교 교육대학 예술 및 예술전문학과 졸업(예술석사)(1990.01.~1993.09.),"(전)김천대학교 교수
(전)경원고등학교 교사",1건,2026-04-24,100162918,교육감,경상북도,4700,-1,-1
경상북도,,"임종식
 
(林宗植)",남,"1955.08.20
(70세)",경상북도 안동시 송현길,경상북도교육감,고려대학교 교육대학원 석사과정 교육행정전공 졸업(교육학석사),"(전)경상북도교육청 교육정책국장
(현)경상북도교육감",없음,2026-04-27,100162976,교육감,경상북도,4700,-1,-1
경상남도,,"권순기
 
(權淳基)",남,"1959.03.28
(67세)",경상남도 창원시 성산구 용지로239번길,경상국립대학교 명예교수,한국과학기술원 화학과 이학박사,"(현)보수중도경남교육감후보단일화연대의 단일후보
(전)경상국립대학교 총장",없음,2026-02-03,100153770,교육감,경상남도,4800,-1,-1
경상남도,,"김상권
 
(金相権)",남,"1957.08.11
(68세)",경상남도 진주시 정촌면 정촌로,무직,동아대학교 대학원 체육학과 박사과정 수료,"(전)경남교육청 교육국장
(전)2022년 경남교육감선거 중도·보수 단일후보",없음,2026-02-03,100153746,교육감,경상남도,4800,-1,-1
경상남도,,"송영기
 
(宋永基)",남,"1965.07.06
(60세)",경상남도 창원시 성산구 용지로239번길,무직,경남대학교 대학원 체육학박사,"(현)좋은교육감만들기 경남시민연대 선출 민주진보후보
(전)전국교직원노동조합 경남지부장",1건,2026-02-03,100153784,교육감,경상남도,4800,-1,-1
경상남도,,"오인태
 
(吳仁𣳾)",남,"1962.04.28
(64세)",경상남도 김해시 율하5로,무직,경상대학교 대학원 졸업(교육학박사),"(전)창원 남정초등학교 교장
(전)인문학서재 이응 원장",1건,2026-02-03,100153751,교육감,경상남도,4800,-1,-1
경상남도,,"김준식
 
(金峻植)",남,"1963.08.15
(62세)",경상남도 진주시 금산면 금산로,무직,경상대학교 법경대학 법학과 졸업,(전)지수중학교 교장,없음,2026-02-06,100153823,교육감,경상남도,4800,-1,-1
경상남도,,"김승오
 
(金承五)",남,"1964.01.06
(62세)",경상남도 창원시 성산구 원이대로,무직,경남대학교 대학원 교육학과 졸업(교육학박사),"(현)경남좋은교육감후보추대시민회의 추대후보
(전)청와대 교육행정관",1건,2026-02-13,100153995,교육감,경상남도,4800,-1,-1
제주특별자치도,,"송문석
 
(宋文石)",남,"1963.11.14
(62세)",제주특별자치도 제주시 명림로,무직,제주대학교대학원 국어국문학과 졸업 (문학박사),"(전)서귀중앙여자중학교 교장
(전)제주특별자치도교육청 교육연구관",없음,2026-02-03,100153761,교육감,제주특별자치도,4900,-1,-1
제주특별자치도,,"고의숙
 
(高義淑)",여,"1969.09.11
(56세)",제주특별자치도 제주시 아연로,무직,제주교육대학교 교육대학원 졸업(교육학 석사),"(전)남광초등학교교감
(전)제12대 제주특별자치도의회교육의원",없음,2026-03-04,100156980,교육감,제주특별자치도,4900,-1,-1
제주특별자치도,,"김광수
 
(金光洙)",남,"1952.12.04
(73세)",제주특별자치도 제주시 오남로,공무원,고려대학교 교육대학원 졸업(교육학석사),(현)제17대 제주특별자치도교육청 교육감,1건,2026-04-23,100162806,교육감,제주특별자치도,4900,-1,-1
